Mods count: 122
 
jar name                                                      | mod id (isMCreator)             | mixin configs
forge-1.12.2-14.23.5.2860-universal.jar (modloader)           | forge                           | 
!!!CrashAssistant-forge-1.12.2-1.10.10.jar                    | crash_assistant                 | 
    /META-INF/jarjar/app.jar                                  |                                 | 
!mixinbooter-10.7.jar                                         | mixinbooter                     | mixin.mixinbooter.init.json, mixins.mixinbooter.refmap.json
[___MixinCompat-1.1-1.12.2___].jar                            | mixincompat                     | mixins.mixincompat.json
_MixinBootstrap-1.1.0.jar                                     |                                 | 
    /META-INF/libraries/asm-analysis-6.2.jar                  |                                 | 
    /META-INF/libraries/asm-util-6.2.jar                      |                                 | 
_supermartijn642corelib-1.1.18a-forge-mc1.12.jar              | supermartijn642corelib          | supermartijn642corelib.mixins.refmap.json, supermartijn642corelib.mixins.json
ae2stuff-0.7.0.4-mc1.12.2.jar                                 | ae2stuff                        | 
AppleSkin-mc1.12-1.0.14.jar                                   | appleskin                       | 
appliedenergistics2-rv6-stable-7.jar                          | appliedenergistics2             | 
Aquaculture-1.12.2-1.6.8.jar                                  | aquaculture                     | 
artifacts-1.12.2-1.2.4.jar                                    | artifacts                       | 
Asgardandelions-For-Botania-1.12.2-v0.1.jar                   | botaniaasgard                   | 
AutoRegLib-1.3-32.jar                                         | autoreglib                      | 
Avaritia-1.12.2-3.3.0.37-universal.jar                        | Avaritia                        | 
Baubles-1.12-1.5.2.jar                                        | baubles                         | 
bdlib-1.14.4.1-mc1.12.2.jar                                   | bdlib                           | 
bettercaves-1.12.2-2.0.4.jar                                  | bettercaves                     | 
BetterFps-1.4.8.jar                                           |                                 | 
BetterMineshaftsForge-1.12.2-2.2.1.jar                        | bettermineshafts                | 
betternether-0.1.8.6.jar                                      | betternether                    | 
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar                 | biomesoplenty                   | 
bonsaitrees-1.1.4-b170.jar                                    | bonsaitrees                     | 
Bookshelf-1.12.2-2.3.590.jar                                  | bookshelf                       | 
